PRISM Time Series Data
Location:  Lat: 41.3171   Lon: -72.9236   Elev: 22m
"Climate variables: ppt,tmin,tmax"
Spatial resolution: 4km
Period: 1981-01-01 - 2010-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2017-Sep-17
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmax (degrees C)
1981-01-01,0.00,-12.3,-4.4
1981-01-02,1.97,-7.8,-1.5
1981-01-03,0.00,-13.9,0.5
1981-01-04,1.77,-19.5,-9.9
1981-01-05,0.00,-19.6,-13.3
1981-01-06,0.00,-13.8,-2.5
1981-01-07,12.20,-10.3,0.8
1981-01-08,0.00,-15.3,1.2
1981-01-09,0.00,-18.8,-6.8
1981-01-10,0.00,-14.3,-4.5
1981-01-11,0.00,-16.5,-5.1
1981-01-12,0.00,-20.6,-9.1
1981-01-13,0.00,-20.4,-10.4
1981-01-14,0.00,-17.4,-7.3
1981-01-15,0.24,-12.4,-3.6
1981-01-16,0.00,-9.2,-0.8
1981-01-17,0.90,-9.4,-2.3
1981-01-18,0.00,-14.4,-4.7
1981-01-19,0.00,-11.5,1.1
1981-01-20,0.00,-4.3,6.9
1981-01-21,0.00,-11.3,5.4
1981-01-22,0.00,-11.8,1.3
1981-01-23,0.00,-6.3,3.5
1981-01-24,0.00,-2.3,4.3
1981-01-25,0.00,-9.6,2.1
1981-01-26,0.00,-8.4,3.3
1981-01-27,0.00,-1.7,6.9
1981-01-28,0.00,-3.4,8.2
1981-01-29,0.00,-3.3,4.9
1981-01-30,0.00,-9.9,1.8
1981-01-31,0.00,-11.7,-2.7
1981-02-01,0.00,-12.0,2.2
1981-02-02,1.78,-10.1,11.5
1981-02-03,10.62,-6.4,11.9
1981-02-04,0.00,-12.7,-4.5
1981-02-05,0.00,-15.4,-4.9
1981-02-06,0.00,-16.0,-6.5
1981-02-07,0.00,-11.4,1.1
1981-02-08,14.24,-6.2,4.5
1981-02-09,6.34,-6.3,7.5
1981-02-10,0.00,-9.0,-0.7
1981-02-11,0.32,-8.3,12.2
1981-02-12,8.08,-8.2,14.5
1981-02-13,0.00,-10.6,-2.6
1981-02-14,0.00,-10.5,-1.0
1981-02-15,0.00,-8.0,5.9
1981-02-16,0.00,-4.5,5.2
1981-02-17,0.02,-1.4,10.6
1981-02-18,0.00,4.4,16.2
1981-02-19,0.00,4.3,18.7
1981-02-20,22.11,4.8,16.1
1981-02-21,41.22,9.0,13.0
1981-02-22,21.20,8.7,13.3
1981-02-23,0.00,3.1,11.9
1981-02-24,31.33,3.5,9.1
1981-02-25,0.85,2.6,12.5
1981-02-26,9.51,2.7,6.2
1981-02-27,0.38,2.9,7.2
1981-02-28,0.00,-2.5,9.1
1981-03-01,3.10,-0.5,6.5
1981-03-02,0.00,-0.5,8.7
1981-03-03,0.00,-2.6,6.4
1981-03-04,0.00,-6.4,0.7
1981-03-05,0.00,-5.4,3.8
1981-03-06,1.37,-1.8,1.3
1981-03-07,0.71,-2.8,4.5
1981-03-08,2.70,0.0,5.1
1981-03-09,0.00,2.0,4.8
1981-03-10,0.00,-0.4,7.5
1981-03-11,0.00,-1.0,8.0
1981-03-12,0.00,-1.6,6.9
1981-03-13,0.00,-0.0,6.7
1981-03-14,0.00,-3.0,13.4
1981-03-15,0.00,-4.8,3.5
1981-03-16,0.00,-1.1,11.9
1981-03-17,0.00,-6.3,8.4
1981-03-18,0.00,-9.8,4.2
1981-03-19,0.00,-9.3,2.2
1981-03-20,0.00,-8.6,3.0
1981-03-21,0.00,-6.5,3.0
1981-03-22,0.00,-2.7,6.0
1981-03-23,0.00,-2.6,8.1
1981-03-24,0.00,-3.9,9.0
1981-03-25,0.00,-0.5,11.2
1981-03-26,4.40,-1.2,9.0
1981-03-27,2.80,1.2,12.0
1981-03-28,0.00,-0.7,11.9
1981-03-29,0.00,2.5,14.5
1981-03-30,0.00,8.0,23.3
1981-03-31,10.48,11.8,18.6
1981-04-01,0.00,4.5,19.8
1981-04-02,15.70,7.1,15.5
1981-04-03,0.00,2.3,14.1
1981-04-04,0.00,6.5,23.1
1981-04-05,0.00,10.0,19.2
1981-04-06,22.49,5.0,16.0
1981-04-07,0.00,2.1,9.0
1981-04-08,0.00,1.6,16.3
